cloudCover,condition,daylight,humidity,precipitationChance,temperature,temperatureApparent,uvIndex,unixTime,visibility
0.3,MostlyClear,false,0.82,0,29.44,34.74,0,1714327200,20882
0.38,PartlyCloudy,false,0.84,0,28.97,34.19,0,1714330800,20347
0.34,MostlyClear,false,0.85,0,28.89,34.15,0,1714334400,22293
0.32,MostlyClear,false,0.88,0,28.42,33.6,0,1714338000,22423
0.4,PartlyCloudy,false,0.88,0,28.17,33.14,0,1714341600,21877
0.39,PartlyCloudy,true,0.88,0,28.51,33.76,0,1714345200,22206
0.44,PartlyCloudy,true,0.82,0,30.05,35.9,1,1714348800,19102
0.48,PartlyCloudy,true,0.74,0,31.06,36.64,3,1714352400,19246
0.58,PartlyCloudy,true,0.65,0,32.59,37.85,5,1714356000,20407
0.53,PartlyCloudy,true,0.57,0,34.23,39.33,7,1714359600,23416
0.49,PartlyCloudy,true,0.52,0,35.68,40.87,9,1714363200,26485
0.47,PartlyCloudy,true,0.5,0,36.04,41.16,9,1714366800,27263
0.54,PartlyCloudy,true,0.47,0,36.66,41.6,8,1714370400,29237
0.53,PartlyCloudy,true,0.44,0,37.52,42.45,6,1714374000,29340
0.63,MostlyCloudy,true,0.46,0,37,42.03,4,1714377600,29610
0.58,PartlyCloudy,true,0.49,0,36.38,41.49,2,1714381200,29369
0.44,PartlyCloudy,true,0.54,0,34.47,39.18,1,1714384800,28492
0.37,MostlyClear,true,0.62,0,32.52,37.14,0,1714388400,27499
0.52,PartlyCloudy,false,0.73,0,31.16,36.56,0,1714392000,26000
0.7,MostlyCloudy,false,0.76,0,30.6,36.08,0,1714395600,25930
0.82,MostlyCloudy,false,0.8,0,30.28,36.1,0,1714399200,25293
0.84,MostlyCloudy,false,0.82,0,29.94,35.62,0,1714402800,24568
0.84,MostlyCloudy,false,0.83,0,29.82,35.63,0,1714406400,24281
0.85,MostlyCloudy,false,0.85,0,29.44,35.19,0,1714410000,23922
0.85,MostlyCloudy,false,0.85,0,29.26,34.85,0,1714413600,23493
0.86,MostlyCloudy,false,0.87,0,29.02,34.62,0,1714417200,21393
0.86,MostlyCloudy,false,0.86,0,29,34.52,0,1714420800,20357
0.86,MostlyCloudy,false,0.87,0,28.85,34.29,0,1714424400,20940
0.88,Cloudy,false,0.87,0,28.79,34.18,0,1714428000,19751
0.88,Cloudy,true,0.88,0,28.33,33.53,0,1714431600,21026
0.85,MostlyCloudy,true,0.86,0,29.55,35.46,1,1714435200,19752
0.84,MostlyCloudy,true,0.79,0,30.76,36.84,3,1714438800,20364
0.83,MostlyCloudy,true,0.71,0,32.16,38.14,4,1714442400,21853
0.82,MostlyCloudy,true,0.62,0,33.89,39.79,6,1714446000,26146
0.82,MostlyCloudy,true,0.55,0,35.4,41.2,6,1714449600,28601
0.84,MostlyCloudy,true,0.53,0,36.01,41.8,6,1714453200,25444
