YEAR,MO,DY,HR,UV,Tem,Hum
2018,1,1,0,0,21.19,83.69
2018,1,1,1,0,20.65,85.38
2018,1,1,2,0,20.17,86.88
2018,1,1,3,0,19.82,88.25
2018,1,1,4,0,19.68,89.25
2018,1,1,5,0,19.4,90.56
2018,1,1,6,0.02,19.78,89.69
2018,1,1,7,0.55,22.08,78.31
2018,1,1,8,2.27,24.89,66.44
2018,1,1,9,5.15,26.67,60.94
2018,1,1,10,7.85,28.05,57.25
2018,1,1,11,9.33,29.16,54.19
2018,1,1,12,9.02,29.99,51.88
2018,1,1,13,7.73,30.48,50.44
2018,1,1,14,4.77,30.64,49.94
2018,1,1,15,2.12,30.41,50.62
2018,1,1,16,0.45,29.98,53.06
2018,1,1,17,0.02,28.46,59.62
2018,1,1,18,0,27.58,61.5
2018,1,1,19,0,26.46,66.69
2018,1,1,20,0,25.12,73.12
2018,1,1,21,0,23.89,79.31
2018,1,1,22,0,22.85,83.75
2018,1,1,23,0,22.13,85.88
2018,1,2,0,0,21.58,86.75
2018,1,2,1,0,21.05,87.44
2018,1,2,2,0,20.5,88.94
2018,1,2,3,0,20.05,90.25
2018,1,2,4,0,19.55,91.19
2018,1,2,5,0,19.13,91.94
2018,1,2,6,0.02,19.72,90.69
2018,1,2,7,0.52,22.29,77.69
2018,1,2,8,2.23,24.73,68.75
2018,1,2,9,4.88,26.73,63
2018,1,2,10,7.58,28.56,57.06
2018,1,2,11,8.52,29.88,53
2018,1,2,12,8.42,30.73,50.38
2018,1,2,13,7.48,31.21,48.88
2018,1,2,14,4.58,31.3,48.62
2018,1,2,15,2.05,31.01,49.69
2018,1,2,16,0.48,30.52,52.62
2018,1,2,17,0.02,28.39,63.5
2018,1,2,18,0,26.83,69.12
2018,1,2,19,0,25.9,74.12
2018,1,2,20,0,25.41,76.62
2018,1,2,21,0,25.29,76.31
2018,1,2,22,0,24.64,79.94
2018,1,2,23,0,23.84,84.44
2018,1,3,0,0,23.07,88
2018,1,3,1,0,22.58,89.62
2018,1,3,2,0,22.19,90.44
2018,1,3,3,0,21.8,91.19
2018,1,3,4,0,21.58,91.25
2018,1,3,5,0,21.46,90.88
2018,1,3,6,0.02,22.02,89.75
2018,1,3,7,0.52,23.94,79.31
2018,1,3,8,2.3,25.87,71.88
2018,1,3,9,5.02,28.7,62
2018,1,3,10,7.7,30.73,56.31
2018,1,3,11,8.02,31.81,54
2018,1,3,12,8.3,32.51,52.56
2018,1,3,13,7.15,32.79,52
2018,1,3,14,4.38,32.65,52.5
2018,1,3,15,1.98,31.96,55
2018,1,3,16,0.45,30.81,61.5
2018,1,3,17,0.02,28.34,74.56
2018,1,3,18,0,26.89,79.62
2018,1,3,19,0,26.08,83.88
2018,1,3,20,0,25.4,88.62
2018,1,3,21,0,24.89,92.62
2018,1,3,22,0,24.59,94.56
2018,1,3,23,0,24.44,94.94
2018,1,4,0,0,24.26,95.25
2018,1,4,1,0,24.03,95.62
2018,1,4,2,0,23.75,95.88
2018,1,4,3,0,23.38,96.19
2018,1,4,4,0,23.13,95.81
2018,1,4,5,0,22.8,95.69
2018,1,4,6,0.02,23.34,92.69
2018,1,4,7,0.52,25.58,79.88
2018,1,4,8,2.25,28.1,68
2018,1,4,9,4.92,29.9,62
2018,1,4,10,7.05,31.16,58.06
2018,1,4,11,8.52,32.18,55.5
2018,1,4,12,8.23,32.81,54.12
2018,1,4,13,6.83,32.99,53.69
2018,1,4,14,4.23,32.77,54.25
2018,1,4,15,1.85,32.04,56.5
2018,1,4,16,0.4,30.82,62.69
2018,1,4,17,0.02,28.44,74.44
2018,1,4,18,0,27.15,78.44
2018,1,4,19,0,26.33,82.81
2018,1,4,20,0,25.58,87.56
2018,1,4,21,0,25.09,90.75
2018,1,4,22,0,24.76,92.69
2018,1,4,23,0,24.54,93.75
2018,1,5,0,0,24.38,94.38
2018,1,5,1,0,24.33,94.5
2018,1,5,2,0,24.24,94.81
2018,1,5,3,0,24.16,95.19
2018,1,5,4,0,24.09,95.62
2018,1,5,5,0,24.01,96.12
2018,1,5,6,0.02,24.28,95.38
2018,1,5,7,0.4,25.42,89.19
2018,1,5,8,1.67,26.99,79.94
2018,1,5,9,3.83,28.73,71
2018,1,5,10,5.62,30.48,63.69
2018,1,5,11,5.7,31.67,59.25
2018,1,5,12,6.62,32.21,57.25
2018,1,5,13,6.08,32.22,57.06
2018,1,5,14,3.92,31.6,58.88
2018,1,5,15,1.55,30.51,62.81
2018,1,5,16,0.4,29.04,69.69
2018,1,5,17,0.02,27.41,77.75
2018,1,5,18,0,26.26,83.75
2018,1,5,19,0,25.52,88.5
2018,1,5,20,0,25.01,91.75
2018,1,5,21,0,24.61,94.12
2018,1,5,22,0,24.29,95.75
2018,1,5,23,0,24.05,96.56
2018,1,6,0,0,23.84,97.06
2018,1,6,1,0,23.66,97.12
2018,1,6,2,0,23.51,96.88
2018,1,6,3,0,23.41,96.38
2018,1,6,4,0,23.29,96.12
2018,1,6,5,0,23.15,96.06
2018,1,6,6,0.02,23.57,93.31
2018,1,6,7,0.55,25.41,82.94
2018,1,6,8,2.23,27.6,71.31
2018,1,6,9,5,29.29,65.06
2018,1,6,10,6.92,30.58,61
2018,1,6,11,8.48,31.4,58.88
2018,1,6,12,8.35,31.55,58.44
2018,1,6,13,7.17,31.24,59.38
2018,1,6,14,5.05,30.7,60.88
2018,1,6,15,2.25,29.94,63.06
2018,1,6,16,0.52,28.7,67.69
2018,1,6,17,0.02,27,75.12
2018,1,6,18,0,25.89,80.62
2018,1,6,19,0,25.2,85.06
2018,1,6,20,0,24.73,88.75
2018,1,6,21,0,24.37,91.62
2018,1,6,22,0,24.03,94.25
2018,1,6,23,0,23.76,96.06
2018,1,7,0,0,23.55,97.31
2018,1,7,1,0,23.32,98.5
2018,1,7,2,0,23.12,99.25
2018,1,7,3,0,22.94,99.94
2018,1,7,4,0,22.73,100
2018,1,7,5,0,22.64,100
2018,1,7,6,0.02,23.33,96.5
2018,1,7,7,0.42,25.64,85.31
2018,1,7,8,2,27.74,76.06
2018,1,7,9,4.88,29.34,69.44
2018,1,7,10,7.2,30.55,64.88
2018,1,7,11,7.67,31.25,61.88
2018,1,7,12,7.88,31.48,60.25
2018,1,7,13,6.92,31.28,59.94
2018,1,7,14,4.58,30.77,60.69
2018,1,7,15,2.08,30,62.81
2018,1,7,16,0.45,28.85,67.94
2018,1,7,17,0.02,27.12,76.31
2018,1,7,18,0,26.19,80.31
2018,1,7,19,0,25.55,84.38
2018,1,7,20,0,25.1,88
2018,1,7,21,0,24.78,90.88
2018,1,7,22,0,24.52,93.06
2018,1,7,23,0,24.31,94.44
2018,1,8,0,0,24.03,95.69
2018,1,8,1,0,23.68,97.25
2018,1,8,2,0,23.37,98.31
2018,1,8,3,0,23.09,99.25
2018,1,8,4,0,22.8,100
2018,1,8,5,0,22.55,100
2018,1,8,6,0.02,23.26,96.88
2018,1,8,7,0.48,25.64,83.5
2018,1,8,8,2.05,28.22,69.44
2018,1,8,9,4.7,30.08,61.62
2018,1,8,10,6.95,31.48,56.5
2018,1,8,11,7.8,32.44,53.38
2018,1,8,12,7.6,32.95,51.56
2018,1,8,13,6.48,32.89,51.25
2018,1,8,14,4.4,32.36,52.31
2018,1,8,15,1.95,31.48,55.38
2018,1,8,16,0.45,30.05,62.88
2018,1,8,17,0.02,27.88,72.62
2018,1,8,18,0,26.61,78.69
2018,1,8,19,0,25.65,85.31
2018,1,8,20,0,24.98,90.69
2018,1,8,21,0,24.55,94.25
2018,1,8,22,0,24.25,96.06
2018,1,8,23,0,24.03,97.06
2018,1,9,0,0,23.83,97.88
2018,1,9,1,0,23.65,98.5
2018,1,9,2,0,23.56,98.69
2018,1,9,3,0,23.48,98.81
2018,1,9,4,0,23.36,99.06
2018,1,9,5,0,23.18,99.62
2018,1,9,6,0.02,23.68,96.94
2018,1,9,7,0.48,25.55,86.12
2018,1,9,8,1.95,27.87,71.75
2018,1,9,9,4.62,30.08,61.38
2018,1,9,10,7.25,31.55,56.25
2018,1,9,11,8.65,32.63,52.81
2018,1,9,12,7.33,33.33,49.88
2018,1,9,13,6.55,33.55,48.06
2018,1,9,14,4.42,33.37,47.81
2018,1,9,15,2.1,32.72,49.62
2018,1,9,16,0.52,31.3,56.88
2018,1,9,17,0.02,28.61,69.44
2018,1,9,18,0,27.31,75
2018,1,9,19,0,26.39,81.88
2018,1,9,20,0,25.76,87.56
2018,1,9,21,0,25.45,90.94
2018,1,9,22,0,25.3,92.5
2018,1,9,23,0,25.23,92.44
2018,1,10,0,0,25,92.44
2018,1,10,1,0,24.6,92.62
2018,1,10,2,0,24.15,92.31
2018,1,10,3,0,23.76,90.81
2018,1,10,4,0,23.37,88.69
2018,1,10,5,0,22.9,86.94
2018,1,10,6,0.02,23.16,83.5
2018,1,10,7,0.45,24.98,70.69
2018,1,10,8,2.12,26.86,62.56
2018,1,10,9,4.9,28.83,56.75
2018,1,10,10,7.65,30.57,52.38
2018,1,10,11,8.55,31.91,49.19
2018,1,10,12,8.23,32.79,47.12
2018,1,10,13,6.85,33.24,46
2018,1,10,14,4.38,33.23,45.94
2018,1,10,15,1.7,32.8,47.06
2018,1,10,16,0.4,32.02,50.56
2018,1,10,17,0.02,30.08,61.62
2018,1,10,18,0,28.74,67.75
2018,1,10,19,0,27.37,74.62
2018,1,10,20,0,26.37,76.5
2018,1,10,21,0,25.59,76.62
2018,1,10,22,0,24.76,77.25
2018,1,10,23,0,23.9,78
2018,1,11,0,0,22.98,79.31
2018,1,11,1,0,22.16,80.88
2018,1,11,2,0,21.5,82
2018,1,11,3,0,20.94,82.56
