cloudCover,condition,daylight,humidity,precipitationChance,temperature,temperatureApparent,uvIndex,unixTime,visibility
0.66,MostlyCloudy,false,0.87,0,28.79,34.23,0,1716660000,18891
0.67,MostlyCloudy,false,0.87,0.06,28.5,33.69,0,1716663600,20378
0.64,MostlyCloudy,false,0.91,0.05,27.45,32.27,0,1716667200,21793
0.64,MostlyCloudy,false,0.95,0,26.46,30.9,0,1716670800,21167
0.6,PartlyCloudy,false,0.96,0,26.03,30.24,0,1716674400,22017
0.59,PartlyCloudy,true,0.92,0,26.78,31.21,0,1716678000,22385
0.7,MostlyCloudy,true,0.89,0,27.84,32.69,1,1716681600,21329
0.74,MostlyCloudy,true,0.84,0.05,29.23,34.62,3,1716685200,23945
0.75,MostlyCloudy,true,0.77,0,30.94,36.87,4,1716688800,28262
0.85,MostlyCloudy,true,0.72,0.04,32.05,38.14,5,1716692400,29358
0.72,MostlyCloudy,true,0.66,0,33.47,39.8,7,1716696000,29059
0.65,MostlyCloudy,true,0.61,0,34.39,40.6,8,1716699600,24808
0.84,MostlyCloudy,true,0.6,0.26,34.76,41.07,6,1716703200,31238
0.86,MostlyCloudy,true,0.65,0,33.53,39.75,5,1716706800,31543
0.86,MostlyCloudy,true,0.68,0.07,32.38,37.97,4,1716710400,28035
0.84,MostlyCloudy,true,0.71,0.05,31.83,37.57,2,1716714000,22448
0.84,MostlyCloudy,true,0.7,0.28,31.96,37.68,1,1716717600,21119
0.78,MostlyCloudy,true,0.73,0.4,31.34,36.9,0,1716721200,20841
0.75,MostlyCloudy,false,0.75,0.46,30.77,36.22,0,1716724800,27368
0.81,MostlyCloudy,false,0.78,0.46,30.2,35.58,0,1716728400,26306
0.86,MostlyCloudy,false,0.79,0.46,29.99,35.36,0,1716732000,27317
0.91,Cloudy,false,0.82,0,29.32,34.51,0,1716735600,26484
0.76,MostlyCloudy,false,0.85,0.46,29.19,34.66,0,1716739200,24130
0.71,MostlyCloudy,false,0.85,0.45,29.06,34.42,0,1716742800,23296
0.56,PartlyCloudy,false,0.86,0.06,28.82,34.18,0,1716746400,23400
0.61,PartlyCloudy,false,0.9,0,28.26,33.56,0,1716750000,24423
0.63,MostlyCloudy,false,0.9,0.06,28.05,33.17,0,1716753600,24778
0.6,PartlyCloudy,false,0.9,0,27.84,32.83,0,1716757200,20341
0.59,PartlyCloudy,false,0.9,0,27.68,32.54,0,1716760800,21570
0.55,PartlyCloudy,true,0.9,0,27.94,33.01,0,1716764400,22825
0.57,PartlyCloudy,true,0.87,0.07,29.23,35.02,1,1716768000,24785
0.56,PartlyCloudy,true,0.81,0,30.29,36.24,3,1716771600,25882
0.51,PartlyCloudy,true,0.75,0.03,31.77,38.09,5,1716775200,27197
0.58,PartlyCloudy,true,0.7,0,33.13,39.85,7,1716778800,29209
0.63,MostlyCloudy,true,0.64,0,34.07,40.49,8,1716782400,28257
0.68,MostlyCloudy,true,0.59,0,35.12,41.61,7,1716786000,27089
0.83,MostlyCloudy,true,0.57,0.04,35.43,41.65,6,1716789600,24807
0.88,Cloudy,true,0.56,0.04,36,42.6,5,1716793200,22807
0.89,Cloudy,true,0.57,0.05,35.84,42.48,4,1716796800,26351
0.91,Cloudy,true,0.58,0.04,35.41,41.81,2,1716800400,18254
0.87,MostlyCloudy,true,0.66,0.05,33.77,40.32,1,1716804000,18836
0.82,MostlyCloudy,true,0.78,0.05,31.01,37.14,0,1716807600,18826
0.82,MostlyCloudy,false,0.86,0,29.32,35.08,0,1716811200,25221
0.8,MostlyCloudy,false,0.87,0,29.02,34.67,0,1716814800,25828
0.86,MostlyCloudy,false,0.87,0,28.86,34.31,0,1716818400,23718
0.89,Cloudy,false,0.86,0.14,28.68,33.87,0,1716822000,23802
0.9,Cloudy,false,0.86,0.2,28.65,33.87,0,1716825600,23927
0.94,Cloudy,false,0.87,0.22,28.63,33.93,0,1716829200,24324
