YEAR,MO,DY,HR,UV,Tem,Hum
2021,12,2,7,0.77,22.83,14.1
2021,12,2,8,2.58,24.85,14.4
2021,12,2,9,5.35,26.51,15.08
2021,12,2,10,7.55,27.76,15.75
2021,12,2,11,7.7,28.7,16.24
2021,12,2,12,7.12,29.28,16.42
2021,12,2,13,6.1,29.31,16.48
2021,12,2,14,3.6,29.03,16.54
2021,12,2,15,1.42,28.65,17.15
2021,12,2,16,0.2,28.16,16.97
2021,12,2,17,0,26.66,18.07
2021,12,2,18,0,25.76,17.88
2021,12,2,19,0,25.34,17.76
2021,12,2,20,0,24.91,17.58
2021,12,2,21,0,24.45,17.33
2021,12,2,22,0,23.92,16.97
2021,12,2,23,0,23.27,16.42
2021,12,3,0,0,22.69,15.93
2021,12,3,1,0,22.17,15.44
2021,12,3,2,0,21.65,15.01
2021,12,3,3,0,21.12,14.65
2021,12,3,4,0,20.67,14.34
2021,12,3,5,0,20.3,14.04
2021,12,3,6,0.05,20.45,13.92
2021,12,3,7,0.75,21.58,13.79
2021,12,3,8,2.55,23.48,13.79
2021,12,3,9,5.15,25.3,14.22
2021,12,3,10,7.67,26.89,14.89
2021,12,3,11,9.12,27.8,15.56
2021,12,3,12,7.95,28.33,15.99
2021,12,3,13,6.58,28.55,16.11
2021,12,3,14,3.6,28.49,15.99
2021,12,3,15,1.5,28.15,15.93
2021,12,3,16,0.23,27.55,16.36
2021,12,3,17,0,26.23,16.66
2021,12,3,18,0,25.82,15.69
2021,12,3,19,0,25.62,15.38
2021,12,3,20,0,24.83,15.62
2021,12,3,21,0,24.08,15.93
2021,12,3,22,0,23.19,16.11
2021,12,3,23,0,22.52,15.81
2021,12,4,0,0,21.91,15.32
2021,12,4,1,0,21.19,14.59
2021,12,4,2,0,20.4,13.85
2021,12,4,3,0,19.58,13.12
2021,12,4,4,0,18.85,12.51
2021,12,4,5,0,18.28,12.08
2021,12,4,6,0.05,18.4,11.84
2021,12,4,7,0.77,19.82,11.72
2021,12,4,8,2.6,21.38,12.02
2021,12,4,9,5,23,12.33
2021,12,4,10,7.08,24.9,13
2021,12,4,11,6.35,26.29,13.98
2021,12,4,12,5.95,27.15,14.47
2021,12,4,13,4.83,27.55,14.59
2021,12,4,14,2.83,27.52,14.53
2021,12,4,15,1.23,27.11,14.47
2021,12,4,16,0.17,26.4,14.95
2021,12,4,17,0,24.45,15.5
2021,12,4,18,0,23.23,15.26
2021,12,4,19,0,22.45,14.65
2021,12,4,20,0,21.62,14.22
2021,12,4,21,0,20.8,13.73
2021,12,4,22,0,20.2,13.43
2021,12,4,23,0,19.81,13.18
2021,12,5,0,0,19.44,12.94
2021,12,5,1,0,19.05,12.76
2021,12,5,2,0,18.67,12.57
2021,12,5,3,0,18.23,12.33
2021,12,5,4,0,17.89,12.15
2021,12,5,5,0,17.6,11.9
2021,12,5,6,0.05,18.16,12.08
2021,12,5,7,0.85,20.18,12.57
2021,12,5,8,2.92,22.45,13.49
2021,12,5,9,5.8,24.65,14.4
2021,12,5,10,8.42,26.68,15.38
2021,12,5,11,9.45,27.94,16.05
2021,12,5,12,8.75,28.76,16.48
2021,12,5,13,6.5,29.11,16.6
2021,12,5,14,3.88,29.12,16.6
2021,12,5,15,1.35,28.76,16.78
2021,12,5,16,0.23,28.44,16.85
2021,12,5,17,0,26.85,17.46
2021,12,5,18,0,25.3,17.52
2021,12,5,19,0,24.46,17.27
2021,12,5,20,0,23.87,17.03
2021,12,5,21,0,23.41,16.85
2021,12,5,22,0,22.94,16.54
2021,12,5,23,0,22.35,15.99
2021,12,6,0,0,21.73,15.38
2021,12,6,1,0,21.15,14.89
2021,12,6,2,0,20.58,14.47
2021,12,6,3,0,20.07,14.04
2021,12,6,4,0,19.6,13.73
2021,12,6,5,0,19.2,13.55
2021,12,6,6,0.05,19.7,13.67
2021,12,6,7,0.8,21.55,14.16
2021,12,6,8,2.77,24.05,14.77
2021,12,6,9,5.55,26.01,15.32
2021,12,6,10,8.05,27.37,15.93
2021,12,6,11,8.95,28.44,16.36
2021,12,6,12,8.15,29.2,16.6
2021,12,6,13,6.38,29.62,16.72
2021,12,6,14,3.8,29.69,16.6
2021,12,6,15,1.45,29.44,16.48
2021,12,6,16,0.23,28.8,17.03
2021,12,6,17,0,27.51,17.03
2021,12,6,18,0,26.67,16.36
2021,12,6,19,0,26.29,16.11
2021,12,6,20,0,25.54,16.36
2021,12,6,21,0,24.69,16.72
2021,12,6,22,0,24,16.72
2021,12,6,23,0,23.43,16.54
2021,12,7,0,0,22.92,16.11
2021,12,7,1,0,22.28,15.56
2021,12,7,2,0,21.54,15.01
2021,12,7,3,0,20.76,14.59
2021,12,7,4,0,20.14,14.22
2021,12,7,5,0,19.64,13.85
2021,12,7,6,0.05,19.84,13.73
2021,12,7,7,0.73,21.48,13.92
2021,12,7,8,2.52,23.84,14.28
2021,12,7,9,5.05,25.69,14.71
2021,12,7,10,7.38,27.05,15.14
2021,12,7,11,7.9,28.01,15.56
2021,12,7,12,7.77,28.63,15.87
2021,12,7,13,6.6,28.86,16.05
2021,12,7,14,3.73,28.75,16.17
2021,12,7,15,1.5,28.3,16.24
2021,12,7,16,0.25,27.55,16.72
2021,12,7,17,0,25.57,17.03
2021,12,7,18,0,24.31,16.54
2021,12,7,19,0,23.77,16.3
2021,12,7,20,0,23.28,16.11
2021,12,7,21,0,22.82,15.93
2021,12,7,22,0,22.35,15.69
2021,12,7,23,0,21.9,15.44
2021,12,8,0,0,21.36,15.08
2021,12,8,1,0,20.75,14.59
2021,12,8,2,0,20.16,14.04
2021,12,8,3,0,19.68,13.61
2021,12,8,4,0,19.33,13.24
2021,12,8,5,0,19.1,13.06
2021,12,8,6,0.05,19.58,13.18
2021,12,8,7,0.73,21.26,13.43
2021,12,8,8,2.7,23.67,14.4
2021,12,8,9,5.3,26.34,15.38
2021,12,8,10,7.8,28.19,15.75
2021,12,8,11,8.77,29.37,15.99
2021,12,8,12,8.48,29.94,16.3
2021,12,8,13,6.6,30.16,16.6
2021,12,8,14,3.67,30.01,16.72
2021,12,8,15,1.55,29.55,17.03
